08-16-2022 17:13:33 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 2323
08-16-2022 17:13:33 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 2323
08-16-2022 17:13:33 | root | WARNING  | main.py | 0093 | submitSpamOtp | 2323 không là sdt
08-16-2022 17:13:45 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:13:45 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:13:45 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:13:45 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/bach-hoa-xanh?phone={sdt}
08-16-2022 17:14:16 | root | ERROR    | service_SmsOtp.py | 0025 | requestSpamSmsOtp | Http Error: 503 Server Error: Service Unavailable for url: https://api-sms-v2.herokuapp.com/bach-hoa-xanh?phone=0973329521
08-16-2022 17:14:16 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 1, success: 0, fail: 1\nphone: 0973329521\nbrand: bach-hoa-xanh\nmessage: thất bại'
08-16-2022 17:14:29 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:14:29 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:14:29 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:14:29 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/bach-hoa-xanh?phone={sdt}
08-16-2022 17:15:00 | root | ERROR    | service_SmsOtp.py | 0025 | requestSpamSmsOtp | Http Error: 503 Server Error: Service Unavailable for url: https://api-sms-v2.herokuapp.com/bach-hoa-xanh?phone=0973329521
08-16-2022 17:15:00 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 2, success: 0, fail: 2\nphone: 0973329521\nbrand: bach-hoa-xanh\nmessage: thất bại'
08-16-2022 17:15:10 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:15:10 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:15:10 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:15:10 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/elines?phone={sdt}
08-16-2022 17:15:11 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"err\":\"InvalidData\",\"msg\":\"Captcha không hợp lệ.\"}"
08-16-2022 17:15:11 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 3, success: 1, fail: 2\nphone: 0973329521\nbrand: elines\nmessage: thành công'
08-16-2022 17:15:27 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:15:27 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:15:27 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:15:27 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/bach-hoa-xanh?phone={sdt}
08-16-2022 17:15:58 | root | ERROR    | service_SmsOtp.py | 0025 | requestSpamSmsOtp | Http Error: 503 Server Error: Service Unavailable for url: https://api-sms-v2.herokuapp.com/bach-hoa-xanh?phone=0973329521
08-16-2022 17:15:58 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 4, success: 1, fail: 3\nphone: 0973329521\nbrand: bach-hoa-xanh\nmessage: thất bại'
08-16-2022 17:17:49 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:17:49 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
